sl_no,image_id,fruit_name,label
1,freshApple (464),Apple,Healthy
2,rotated_by_30_Screen Shot 2018-06-08 at 5.03.47 PM,Apple,Healthy
3,freshApple (473),Apple,Healthy
4,rotated_by_75_Screen Shot 2018-06-08 at 5.12.14 PM,Apple,Healthy
5,rotated_by_75_Screen Shot 2018-06-08 at 5.33.27 PM,Apple,Healthy
6,translation_Screen Shot 2018-06-08 at 5.05.27 PM,Apple,Healthy
7,rotated_by_45_Screen Shot 2018-06-08 at 5.16.16 PM,Apple,Healthy
8,rotated_by_75_Screen Shot 2018-06-08 at 5.04.05 PM,Apple,Healthy
9,freshApple (493),Apple,Healthy
10,rotated_by_15_Screen Shot 2018-06-08 at 5.15.28 PM,Apple,Healthy
11,rotated_by_60_Screen Shot 2018-06-08 at 5.26.58 PM,Apple,Healthy
12,vertical_flip_Screen Shot 2018-06-08 at 5.15.01 PM,Apple,Healthy
13,rotated_by_30_Screen Shot 2018-06-08 at 5.32.33 PM,Apple,Healthy
14,rotated_by_30_Screen Shot 2018-06-08 at 5.25.33 PM,Apple,Healthy
15,freshApple (304),Apple,Healthy
16,freshApple (490),Apple,Healthy
17,translation_Screen Shot 2018-06-08 at 5.02.31 PM,Apple,Healthy
18,rotated_by_15_Screen Shot 2018-06-08 at 5.12.34 PM,Apple,Healthy
19,rotated_by_30_Screen Shot 2018-06-08 at 5.19.47 PM,Apple,Healthy
20,rotated_by_45_Screen Shot 2018-06-08 at 5.06.47 PM,Apple,Healthy
21,Screen Shot 2018-06-08 at 5.03.05 PM,Apple,Healthy
22,rotated_by_15_Screen Shot 2018-06-08 at 5.26.47 PM,Apple,Healthy
23,rotated_by_45_Screen Shot 2018-06-08 at 5.29.31 PM,Apple,Healthy
24,translation_Screen Shot 2018-06-08 at 5.25.02 PM,Apple,Healthy
25,translation_Screen Shot 2018-06-08 at 5.10.11 PM,Apple,Healthy
26,freshApple (818),Apple,Healthy
27,freshApple (579),Apple,Healthy
28,rotated_by_45_Screen Shot 2018-06-08 at 5.19.35 PM,Apple,Healthy
29,rotated_by_30_Screen Shot 2018-06-08 at 5.25.49 PM,Apple,Healthy
